committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00502906,FACEBOOK INC. PAC,2016,M9,2.01609E+17,23,BA54443617F7A1DEEFC,1100793,CCM,CAMPAIGN COMMITTEE,C00547570,C00547570,PERDUE FOR SENATE,GA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 12/18/2015 CONTRIBUTION,,,42612,-2500,S,SENATE,,S4GA11285,"PERDUE, DAVID ALFRED JR.",DAVID,PERDUE,ALFRED,,JR.,GA,GEORGIA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.09202E+18,ATLANTA,303552077,CONTRIBUTIONS,,2016,SB,4.09232E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201609209032013770,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2016,M9,2.01609E+17,23,601ED32799665ECF522,1100793,CCM,CAMPAIGN COMMITTEE,C00394957,C00394957,SCALISE FOR CONGRESS,LA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 12/17/2015 CONTRIBUTION,,,42612,-2500,H,HOUSE,1,H0LA01087,"SCALISE, STEPHEN JOSEPH",STEPHEN,SCALISE,JOSEPH,,,LA,LOUISIANA,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.09202E+18,JEFFERSON,701833219,CONTRIBUTIONS,,2016,SB,4.09232E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201609209032013770,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2016,M3,2.01603E+17,23,C34775F6354F94A580E,1056082,CCM,CAMPAIGN COMMITTEE,C00458844,C00458844,MARCO RUBIO FOR US SENATE,FL,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/19/2014 CONTRIBUTION,,,42416,-1500,P,PRESIDENT,,P60006723,"RUBIO, MARCO ANTONIO",MARCO,RUBIO,ANTONIO,,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.03182E+18,MIAMI,332558701,CONTRIBUTIONS,,2016,SB,4.03182E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201603189009781594,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,E4444AB6BBF6F4F5E77,1043994,CCM,CAMPAIGN COMMITTEE,C00500207,C00500207,FRIENDS OF SUSAN BROOKS,IN,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42159,500,H,HOUSE,5,H2IN05082,"BROOKS, SUSAN W.",SUSAN,BROOKS,W.,,,IN,INDIANA,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,INDIANAPOLIS,462601308,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694868,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,MY,2.01601E+17,23,FFC1CD05E59BECADE31,1043994,CCM,CAMPAIGN COMMITTEE,C00385526,C00385526,THE RICHARD BURR COMMITTEE,NC,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42090,500,S,SENATE,,S4NC00089,"BURR, RICHARD M.",RICHARD,BURR,M.,,,NC,NORTH CAROLINA,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,WINSTON-SALEM,27113,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004694881,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,YE,2.01601E+17,23,137BFD986C0BAA8EC6C,1043997,CCM,CAMPAIGN COMMITTEE,C00461046,C00461046,FRIENDS OF PAT TOOMEY,VA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 GENERAL,,,42276,500,S,SENATE,,S4PA00121,"TOOMEY, PATRICK JOSEPH",PATRICK,TOOMEY,JOSEPH,,,PA,PENNSYLVANIA,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,ALEXANDRIA,22314,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004695103,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,YE,2.01601E+17,23,ABF55C7CD66CA9A65BB,1043997,CCM,CAMPAIGN COMMITTEE,C00230482,C00230482,GRASSLEY COMMITTEE INC,IA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42276,500,S,SENATE,,S0IA00028,"GRASSLEY, CHARLES E.",CHARLES,GRASSLEY,E.,,,IA,IOWA,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,DES MOINES,503041000,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004695103,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2015,YE,2.01601E+17,23,16333D746C73AAED623,1043997,CCM,CAMPAIGN COMMITTEE,C00498345,C00498345,MULLIN FOR CONGRESS,OK,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 PRIMARY,,,42355,500,H,HOUSE,2,H2OK02083,"MULLIN, MARKWAYNE",MARKWAYNE,MULLIN,,,,OK,OKLAHOMA,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01292E+18,MUSKOGEE,74402,CONTRIBUTIONS,,2016,SB,4.01292E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201601289004695112,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2016,M4,2.01604E+17,23,F7DB5B576F6ACE9A46E,1065956,CCM,CAMPAIGN COMMITTEE,C00436386,C00436386,FRIENDS OF JOHN BARRASSO,WY,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2018 PRIMARY,,,42460,500,S,SENATE,,S6WY00068,"BARRASSO, JOHN ANTHONY",JOHN,BARRASSO,ANTHONY,,,WY,WYOMING,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.04212E+18,CASPER,82605,CONTRIBUTIONS,,2016,SB,4.05022E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201604209014501852,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00502906,FACEBOOK INC. PAC,2016,M7,2.01607E+17,23,3976414A535ED20AC72,1089501,CCM,CAMPAIGN COMMITTEE,C00372201,C00372201,TIM MURPHY FOR CONGRESS,PA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2016 GENERAL,,,42548,500,H,HOUSE,18,H2PA18143,"MURPHY, TIMOTHY FRANCIS",TIMOTHY,MURPHY,FRANCIS,,,PA,PENNSYLVANIA,G2016,,GENERAL,2016,A,ADD,ITEMIZED DISBURSEMENTS,42903.99114,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.07202E+18,PTTSBURGH,15234,CONTRIBUTIONS,,2016,SB,4.08022E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201607209021696459,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
